Village id,Pop 1980,Pop 1990,Pop 2000,Pop 2010,log pop 1980,log pop 1990,log pop 2000,log pop 2010,Delta pop 90-80,Delta pop 00-90,Delta pop 10-00,Road Investment Ever (Treatment group),Road Investment between 1990-2000,Road Investment between 2000-2010 ,,,,
46,69970,76966,80814,83239,11.15582186,11.25111904,11.2999055,11.32947127,0.099985708,0.049996102,0.030007177,0,0,0,,,,
47,15225,16747,17585,18112,9.630694093,9.725974417,9.774801545,9.804329981,0.099967159,0.050038813,0.029968723,0,0,0,,,,
48,42696,46966,49314,50793,10.66186052,10.75717921,10.8059633,10.83551383,0.100009369,0.049993612,0.029991483,0,0,0,,,,
49,59250,65174,68433,70486,10.98952106,11.0848159,11.13361044,11.16316939,0.099983122,0.050004603,0.030000146,0,0,0,,,,
50,28738,31611,33192,34188,10.26597557,10.36126044,10.41006416,10.43962998,0.099972162,0.050014236,0.030007231,0,0,0,,,,
51,70160,77176,81035,83466,11.15853363,11.25384381,11.30263644,11.33219464,0.1,0.050002591,0.029999383,0,0,0,,,,
52,32768,36045,37847,38982,10.39720771,10.49252344,10.541307,10.57085528,0.100006104,0.049993064,0.029989167,0,0,0,,,,
53,31025,34127,35834,36909,10.34254861,10.43784414,10.48665244,10.5162107,0.099983884,0.050019047,0.029999442,0,0,0,,,,
54,38464,42310,57119,58833,10.55747802,10.65277874,10.95289209,10.9824582,0.099989601,0.350011818,0.030007528,1,1,0,,,,
55,93272,102599,107729,143280,11.44327523,11.53858347,11.58737409,11.87255604,0.099997856,0.050000487,0.330003991,1,0,1,,,,
56,15768,17345,18212,18758,9.665737849,9.761059559,9.809835996,9.839375607,0.100012684,0.049985587,0.029980233,0,0,0,,,,
57,77534,85287,89551,119103,11.25847183,11.35377732,11.40256357,11.68774394,0.099994841,0.049995896,0.330001898,1,0,1,,,,
58,14386,15825,21364,22005,9.57401079,9.669346247,9.969462541,9.999024979,0.100027805,0.350015798,0.030003745,1,1,0,,,,
59,51298,56428,59250,61027,10.84540704,10.94072077,10.98952106,11.01907167,0.100003899,0.050010633,0.029991561,0,0,0,,,,
60,17832,19615,26480,27274,9.788749875,9.884049859,10.18414501,10.21368915,0.099988784,0.349987255,0.029984894,1,1,0,,,,
61,67015,73717,99518,102504,11.11267175,11.20798872,11.50809381,11.5376571,0.100007461,0.350000678,0.030004622,1,1,0,,,,
62,7333,8066,10889,11216,8.900139988,8.995412975,9.295508384,9.325096609,0.099959089,0.349987602,0.030030306,1,1,0,,,,
63,27557,30313,40923,42151,10.22401187,10.31933194,10.61944753,10.64901369,0.100010887,0.350014845,0.030007575,1,1,0,,,,
64,27478,30226,31737,32689,10.22114096,10.31645776,10.36523847,10.39479391,0.100007279,0.049990075,0.029996534,0,0,0,,,,
65,24930,27422,28794,29658,10.12382718,10.21910089,10.26792231,10.29748718,0.099959888,0.05003282,0.030006251,0,0,0,,,,
66,46974,51672,54256,55884,10.75734954,10.85267133,10.90146886,10.93103339,0.100012773,0.050007741,0.030005898,0,0,0,,,,
67,11590,12749,13386,17803,9.357897936,9.453208116,9.501964664,9.787122261,0.1,0.049964703,0.329971612,1,0,1,,,,
68,6783,7461,10072,10374,8.822174761,8.917444732,9.217514576,9.247057955,0.099955772,0.349953089,0.029984114,1,1,0,,,,
69,33034,36338,38154,39299,10.40529261,10.5006193,10.54938588,10.57895435,0.100018163,0.049975233,0.03000996,0,0,0,,,,
70,29021,31923,43096,44389,10.27577498,10.37108203,10.67118546,10.70074697,0.099996554,0.349998434,0.030002784,1,1,0,,,,
71,22594,24854,26096,26879,10.02543966,10.12077398,10.16953732,10.19910059,0.100026556,0.049971836,0.030004598,0,0,0,,,,
72,78238,86062,90365,93076,11.26751074,11.36282325,11.4116123,11.44117164,0.100002556,0.049998838,0.030000553,0,0,0,,,,
73,22898,25187,26446,27240,10.03880485,10.13408327,10.1828602,10.21244176,0.099965062,0.049986104,0.030023444,0,0,0,,,,
74,68930,75822,79614,82002,11.14084678,11.23614377,11.28494524,11.31449892,0.099985493,0.05001187,0.029994725,0,0,0,,,,
75,15802,17382,18251,18798,9.667891793,9.763190467,9.811975152,9.84150576,0.099987343,0.049994247,0.02997096,0,0,0,,,,
76,3506,3857,4050,4171,8.162231065,8.257644958,8.30647216,8.335911094,0.10011409,0.05003889,0.029876543,0,0,0,,,,
77,50410,55451,74859,77105,10.82794485,10.92325503,11.22336162,11.25292341,0.1,0.350002705,0.030003072,1,1,0,,,,
78,2406,2646,2778,2862,7.785720897,7.880804345,7.929486523,7.95927596,0.099750623,0.049886621,0.030237581,0,0,0,,,,
79,77706,85477,115394,118856,11.26068775,11.35600261,11.65610764,11.68566796,0.100005148,0.350000585,0.03000156,1,1,0,,,,
80,66524,73176,76835,102191,11.10531806,11.20062278,11.24941554,11.53459889,0.099993987,0.050002733,0.330005857,1,0,1,,,,
81,74363,81799,85889,114232,11.21671379,11.3120203,11.36081104,11.64598675,0.099995966,0.050000611,0.329995692,1,0,1,,,,
82,71413,78554,82482,84957,11.1762352,11.27154157,11.32033537,11.34990053,0.099995799,0.050003819,0.030006547,0,0,0,,,,
83,34812,38293,51696,53247,10.45771743,10.55302239,10.85313569,10.88269674,0.099994255,0.350011751,0.030002321,1,1,0,,,,
84,72390,79629,83610,111201,11.18982345,11.28513363,11.33391841,11.61909465,0.1,0.049994349,0.329996412,1,0,1,,,,
85,25405,27946,29343,30223,10.14270128,10.23802936,10.2868093,10.3163585,0.100019681,0.049989265,0.029990117,0,0,0,,,,
86,44518,48970,51419,68387,10.70364888,10.79896314,10.84776303,11.13293803,0.100004493,0.05001021,0.329994749,1,0,1,,,,
87,13067,14374,19405,19987,9.477845247,9.573176298,9.873286044,9.902837341,0.100022959,0.350006957,0.02999227,1,1,0,,,,
88,49175,54093,73026,75217,10.80314064,10.89846007,11.19857082,11.22813255,0.100010168,0.350008319,0.030003013,1,1,0,,,,
89,91275,100403,135544,139610,11.42163221,11.51694737,11.81705159,11.8466081,0.100005478,0.349999502,0.029997639,1,1,0,,,,
90,4250,4675,4909,5056,8.354674262,8.449984442,8.498825534,8.528330936,0.1,0.050053476,0.029944999,0,0,0,,,,
91,21181,23299,31454,32398,9.960859832,10.05616572,10.35628144,10.38585197,0.099995279,0.350015022,0.030012081,1,1,0,,,,
92,68176,74994,78743,81106,11.12984788,11.22516339,11.27394466,11.30351222,0.100005867,0.049990666,0.030009017,0,0,0,,,,
93,97899,107689,113073,150387,11.49169161,11.58700272,11.63578891,11.92096725,0.100001021,0.049995821,0.329999204,1,0,1,,,,
94,6963,7659,8042,10696,8.848365695,8.943636706,8.992433087,9.277625119,0.099956915,0.050006528,0.330017409,1,0,1,,,,
95,86172,94789,99528,132372,11.36410058,11.45940865,11.50819429,11.79337142,0.099997679,0.049995253,0.329997589,1,0,1,,,,
96,47801,52581,55210,56866,10.77480184,10.87011012,10.91889938,10.9484529,0.099997908,0.049999049,0.029994566,0,0,0,,,,
97,63082,69390,72859,75045,11.05219075,11.14749804,11.19628135,11.22584321,0.09999683,0.049992794,0.030003157,0,0,0,,,,
98,70724,77796,105025,108176,11.16654026,11.26184529,11.5619537,11.59151481,0.099994344,0.350005142,0.03000238,1,1,0,,,,
99,72931,80224,84235,86762,11.19726907,11.292578,11.34136579,11.37092402,0.099998629,0.049997507,0.029999406,0,0,0,,,,
100,70279,77307,81173,83608,11.16022831,11.25553979,11.30433796,11.33389449,0.100001423,0.050008408,0.029997659,0,0,0,,,,
101,75914,83506,87681,90311,11.2373564,11.33267376,11.38146051,11.41101455,0.100007904,0.049996407,0.029995096,0,0,0,,,,
102,40700,44770,47009,48419,10.61398337,10.70929355,10.75809435,10.78764758,0.1,0.050011168,0.029994256,0,0,0,,,,
103,30792,33871,35565,36632,10.33501019,10.43031447,10.47911729,10.50867745,0.099993505,0.050013286,0.030001406,0,0,0,,,,
104,47524,52277,54890,56537,10.76899013,10.86431178,10.91308646,10.94265057,0.100012625,0.04998374,0.030005465,0,0,0,,,,
105,82497,90747,122508,126183,11.32051721,11.41583069,11.71593161,11.74548851,0.100003636,0.349995041,0.029998041,1,1,0,,,,
106,40490,44539,46766,48170,10.60881031,10.70412049,10.75291172,10.7824917,0.1,0.050001123,0.030021811,0,0,0,,,,
107,58165,63982,86376,88967,10.97103908,11.06635707,11.36646514,11.39602079,0.100008596,0.350004689,0.029996758,1,1,0,,,,
108,68985,75884,79678,105972,11.14164437,11.23696114,11.28574879,11.57093019,0.100007248,0.049997364,0.330003263,1,0,1,,,,
109,36939,40633,42665,43945,10.51702318,10.61233582,10.66113419,10.69069413,0.100002707,0.050008614,0.030001172,0,0,0,,,,
110,47188,51907,54502,56138,10.7618949,10.85720893,10.90599268,10.93556822,0.100004238,0.049993257,0.030017247,0,0,0,,,,
111,67816,74598,78327,80677,11.12455343,11.21986898,11.26864765,11.29820881,0.100005898,0.049987935,0.030002426,0,0,0,,,,
112,50780,55858,58651,60410,10.83525786,10.93056804,10.9793599,11.00890993,0.1,0.05000179,0.029990963,0,0,0,,,,
113,8949,9844,10336,10646,9.099297073,9.194617412,9.243388226,9.272939514,0.100011174,0.049979683,0.02999226,0,0,0,,,,
114,65431,71974,75573,77840,11.08875143,11.18406022,11.23285436,11.26241072,0.099998472,0.050004168,0.029997486,0,0,0,,,,
115,12554,13809,18642,19201,9.437794619,9.533075832,9.833172379,9.86271764,0.099968138,0.349989138,0.029986053,1,1,0,,,,
116,52715,57986,60886,62712,10.87265532,10.96795688,11.01675854,11.0463081,0.099990515,0.050012072,0.029990474,0,0,0,,,,
117,62735,69009,72459,74633,11.04667478,11.14199221,11.19077616,11.22033805,0.10000797,0.049993479,0.030003174,0,0,0,,,,
118,31861,35047,36799,37903,10.36913797,10.4644453,10.51322595,10.54278554,0.099996861,0.049990013,0.030000815,0,0,0,,,,
119,75894,83484,87658,90288,11.23709291,11.33241028,11.38119816,11.41075984,0.100007906,0.049997604,0.030002966,0,0,0,,,,
120,34562,38018,51324,52864,10.45051009,10.54581501,10.84591376,10.87547786,0.099994213,0.349992109,0.030005456,1,1,0,,,,
121,29054,31959,33557,34563,10.27691145,10.37220911,10.42100076,10.45053902,0.099986233,0.050001565,0.029978842,0,0,0,,,,
122,70743,77818,81709,84160,11.16680887,11.26212805,11.31091943,11.34047503,0.100009895,0.050001285,0.029996696,0,0,0,,,,
123,45454,50000,52500,54075,10.7244561,10.81977828,10.86856845,10.89812725,0.1000132,0.05,0.03,0,0,0,,,,
124,54036,59440,62412,64284,10.89740577,10.99272268,11.04151284,11.07106605,0.100007402,0.05,0.029994232,0,0,0,,,,
125,36811,40492,42517,43792,10.51355199,10.6088597,10.65765927,10.68720643,0.099997283,0.050009878,0.029988005,0,0,0,,,,
126,9352,10287,10802,11126,9.143345503,9.238636241,9.287486581,9.317039991,0.099978614,0.050063187,0.029994445,0,0,0,,,,
127,66100,72710,76346,78636,11.09892403,11.19423421,11.24303092,11.27258489,0.1,0.050006877,0.029995023,0,0,0,,,,
128,74437,81881,85975,88554,11.21770841,11.31302225,11.36181184,11.39136781,0.10000403,0.049999389,0.029997092,0,0,0,,,,
129,33562,36918,38763,39926,10.42114975,10.51645452,10.56522146,10.59478302,0.099994041,0.049975622,0.030002838,0,0,0,,,,
130,56988,62687,65822,67796,10.950596,11.04590937,11.09470941,11.12425848,0.10000351,0.050010369,0.029989973,0,0,0,,,,
131,13540,14894,15639,16108,9.513403546,9.608713726,9.657523073,9.687071322,0.1,0.050020142,0.02998913,0,0,0,,,,
132,48306,53137,55794,57467,10.78531106,10.88062876,10.92942162,10.95896615,0.100008281,0.050002823,0.029985303,0,0,0,,,,
133,34073,37480,39354,40535,10.43626056,10.53156274,10.5803529,10.60992108,0.099991195,0.05,0.030009656,0,0,0,,,,
134,61094,67203,70563,72680,11.02016894,11.11547317,11.16426121,11.19382152,0.099993453,0.049997768,0.030001559,0,0,0,,,,
135,51843,57027,59878,61674,10.8559752,10.95128012,11.00006444,11.02961773,0.099994213,0.049993863,0.029994322,0,0,0,,,,
136,4031,4434,4656,4796,8.301769763,8.39705739,8.445911989,8.475537516,0.099975192,0.050067659,0.030068729,0,0,0,,,,
137,39530,43482,45657,47026,10.58481516,10.68010234,10.72891221,10.75845592,0.099974703,0.050020698,0.029984449,0,0,0,,,,
138,30254,33279,34943,35991,10.31738369,10.41268185,10.46147344,10.49102419,0.099986779,0.050001502,0.029991701,0,0,0,,,,
139,27807,30588,32117,42716,10.23304307,10.32836305,10.37714076,10.66232884,0.100010789,0.049986923,0.330012143,1,0,1,,,,
140,78298,86127,90434,93146,11.26827734,11.36357823,11.41237558,11.44192343,0.099989783,0.050007547,0.029988721,0,0,0,,,,
141,60657,66722,70058,72160,11.01299032,11.10829001,11.15707875,11.18664115,0.09998846,0.049998501,0.030003711,0,0,0,,,,
142,24240,26664,27998,28838,10.09575944,10.19106962,10.23988836,10.26944924,0.1,0.050030003,0.030002143,0,0,0,,,,
143,52770,58047,60950,62778,10.87369813,10.96900831,11.01780913,11.04735997,0.1,0.050011198,0.029991797,0,0,0,,,,
144,61845,68030,71432,95005,11.03238653,11.12770406,11.17650123,11.4616848,0.100008085,0.05000735,0.33000616,1,0,1,,,,
145,31462,34609,36339,37430,10.35653575,10.45186904,10.50064682,10.5302278,0.100025427,0.049986998,0.03002284,0,0,0,,,,
146,88654,97519,102395,136185,11.39249643,11.48780251,11.53659316,11.82176953,0.099995488,0.050000513,0.329996582,1,0,1,,,,
147,78329,86162,90470,93184,11.26867318,11.36398452,11.41277358,11.44233131,0.100001277,0.049998839,0.029998895,0,0,0,,,,
148,51802,56982,76926,79234,10.85518404,10.95049071,11.2505992,11.28016078,0.099996139,0.350005265,0.03000286,1,1,0,,,,
149,74352,81787,85877,88453,11.21656585,11.31187359,11.36067132,11.39022662,0.09999731,0.050007947,0.02999639,0,0,0,,,,
150,13438,14782,19956,20555,9.505841793,9.601165503,9.901285129,9.930859499,0.100014883,0.350020295,0.030016035,1,1,0,,,,
151,7652,8417,11363,11704,8.942722331,9.038008749,9.338117742,9.367685943,0.099973863,0.35000594,0.030009681,1,1,0,,,,
152,26298,28928,30374,31286,10.17724817,10.27256526,10.32134226,10.35092599,0.100007605,0.049986173,0.03002568,0,0,0,,,,
153,27682,30450,31973,32932,10.22853766,10.32384127,10.37264708,10.40220011,0.099992775,0.05001642,0.029994057,0,0,0,,,,
154,82421,90663,122395,126067,11.31959554,11.41490461,11.7150088,11.74456879,0.099998787,0.349999449,0.030001226,1,1,0,,,,
155,90101,99111,104067,138409,11.40868654,11.50399571,11.5527902,11.83796835,0.09999889,0.05000454,0.329998943,1,0,1,,,,
156,5786,6365,6683,6884,8.663196486,8.758569511,8.807322268,8.836955157,0.100069132,0.049960723,0.030076313,0,0,0,,,,
157,49657,54623,73741,75953,10.81289465,10.90821032,11.20831423,11.23787001,0.100006041,0.349999085,0.029996881,1,1,0,,,,
158,61939,68133,91980,94739,11.03390531,11.12921696,11.42932644,11.45888102,0.100001614,0.350006605,0.029995651,1,1,0,,,,
159,76007,83608,87789,90422,11.23858072,11.33389449,11.38269149,11.41224288,0.100003947,0.050007176,0.029992368,0,0,0,,,,
160,53630,58993,79641,82030,10.88986389,10.98517407,11.28528431,11.31484031,0.1,0.350007628,0.029997112,1,1,0,,,,
161,91100,100210,135284,139343,11.41971308,11.51502326,11.81513155,11.8446938,0.1,0.35000499,0.030003548,1,1,0,,,,
162,71474,78621,82552,85029,11.17708903,11.27239412,11.32118368,11.35074765,0.099994404,0.049999364,0.03000533,0,0,0,,,,
163,7538,8292,8706,8967,8.927712174,9.023046474,9.071767722,9.101306451,0.100026532,0.049927641,0.029979325,0,0,0,,,,
164,9233,10156,10664,10984,9.130539302,9.225819943,9.274628862,9.304194947,0.099967508,0.050019693,0.030007502,0,0,0,,,,
165,10455,11501,12076,12438,9.254835612,9.350189267,9.398975291,9.428511582,0.100047824,0.049995653,0.029976814,0,0,0,,,,
166,14315,15747,21258,21896,9.569063218,9.66440515,9.964488574,9.994059251,0.100034928,0.349971423,0.030012231,1,1,0,,,,
167,18871,20758,21796,22450,9.845381631,9.940686994,9.989481746,10.01904589,0.099994701,0.050004817,0.030005506,0,0,0,,,,
168,75147,82662,111594,114942,11.22720147,11.32251528,11.62262256,11.65218293,0.100003992,0.350003629,0.030001613,1,1,0,,,,
169,62736,69010,72460,74634,11.04669072,11.1420067,11.19078996,11.22035145,0.100006376,0.049992755,0.03000276,0,0,0,,,,
170,49552,54507,73584,75792,10.8107779,10.90608441,11.20618289,11.23574803,0.099995964,0.349991744,0.030006523,1,1,0,,,,
171,49386,54324,57040,58751,10.80742226,10.9027214,10.95150806,10.98106345,0.099987851,0.049996318,0.029996494,0,0,0,,,,
172,62638,68902,93018,95809,11.0451274,11.14044048,11.4405483,11.47011191,0.100003193,0.350004354,0.030004945,1,1,0,,,,
173,40092,44101,59536,61322,10.59893209,10.69423774,10.99433645,11.02389395,0.099995011,0.349992064,0.029998656,1,1,0,,,,
174,33590,36949,49881,51377,10.42198368,10.51729386,10.81739545,10.84694588,0.1,0.34999594,0.029991379,1,1,0,,,,
175,79006,86907,91252,121365,11.27727908,11.37259386,11.42138019,11.70655781,0.100005063,0.049995973,0.329998247,1,0,1,,,,
176,12638,13902,14597,19414,9.444463427,9.539787994,9.588571307,9.873749734,0.100015825,0.049992807,0.329999315,1,0,1,,,,
177,28233,31056,32609,33587,10.24824679,10.34354731,10.3923436,10.42189437,0.099989374,0.05000644,0.02999172,0,0,0,,,,
178,52815,58097,61002,62832,10.87455052,10.96986931,11.01866193,11.04821978,0.100009467,0.050002582,0.029999016,0,0,0,,,,
179,34157,37573,50724,52246,10.43872282,10.53404099,10.83415445,10.86371861,0.100008783,0.350011977,0.03000552,1,1,0,,,,
180,45966,50563,53091,54684,10.73565727,10.83097536,10.8797627,10.90932644,0.100008702,0.049997033,0.030005086,0,0,0,,,,
181,1637,1801,1891,1948,7.400620577,7.496097345,7.544861069,7.574558484,0.100183262,0.049972238,0.030142782,0,0,0,,,,
182,86071,94678,127815,131649,11.36292782,11.45823694,11.75833918,11.78789457,0.099998838,0.349996831,0.029996479,1,1,0,,,,
183,68695,75565,79343,81723,11.1374317,11.23274849,11.28153551,11.31109076,0.100007279,0.049996692,0.029996345,0,0,0,,,,
184,89283,98211,103122,137152,11.39956638,11.4948735,11.54366803,11.82884508,0.09999664,0.050004582,0.329997479,1,0,1,,,,
185,61065,67172,70531,93806,11.01969415,11.11501177,11.16380761,11.4489841,0.100008188,0.050005955,0.329996739,1,0,1,,,,
186,20638,22702,30648,31567,9.934889316,10.03020831,10.33032269,10.35986755,0.100009691,0.350013215,0.029985643,1,1,0,,,,
187,28626,31489,33063,43974,10.26207067,10.35739356,10.40617011,10.69135383,0.100013973,0.049985709,0.330006352,1,0,1,,,,
188,90713,99784,104773,139348,11.41545596,11.51076313,11.55955138,11.84472968,0.099996693,0.049997996,0.329999141,1,0,1,,,,
189,5418,5960,6258,6446,8.597482023,8.69282576,8.741615924,8.771215062,0.100036914,0.05,0.030041547,0,0,0,,,,
190,73434,80777,84816,87361,11.20414232,11.29944755,11.34823948,11.37780424,0.099994553,0.050001857,0.030006131,0,0,0,,,,
191,24259,26685,28019,37265,10.09654296,10.19185689,10.24063813,10.52580983,0.100004122,0.049990631,0.329990364,1,0,1,,,,
192,35055,38561,40489,41703,10.46467354,10.55999668,10.60878561,10.63832835,0.100014263,0.049998703,0.029983452,0,0,0,,,,
193,50408,55449,58222,59968,10.82790517,10.92321896,10.97201857,11.00156637,0.100003968,0.050009919,0.029988664,0,0,0,,,,
194,21196,23316,24482,25216,9.961567764,10.0568951,10.10569343,10.13523399,0.100018871,0.050008578,0.029981211,0,0,0,,,,
195,74079,81487,85561,113796,11.21288737,11.30819878,11.35698485,11.64216265,0.10000135,0.049995705,0.329998481,1,0,1,,,,
196,66762,73438,77110,79424,11.10888934,11.20419679,11.25298825,11.28255587,0.099997004,0.050001362,0.030009078,0,0,0,,,,
197,14085,15494,16268,16756,9.55286568,9.648208131,9.696955267,9.726511682,0.100035499,0.049954821,0.029997541,0,0,0,,,,
198,66050,72654,76287,78576,11.09816731,11.19346373,11.24225782,11.27182159,0.09998486,0.050004129,0.030005112,0,0,0,,,,
199,64427,70870,95675,98545,11.07328808,11.16860249,11.46871231,11.49826858,0.100004656,0.350007055,0.029997387,1,1,0,,,,
200,68340,75174,78933,81301,11.13225053,11.22756071,11.27635467,11.3059136,0.1,0.050003991,0.030000127,0,0,0,,,,
201,28957,31853,33446,44483,10.27356725,10.36888685,10.41768748,10.70286237,0.10001036,0.050010988,0.329994618,1,0,1,,,,
202,14737,16211,17022,22639,9.598116617,9.693445303,9.742261904,10.02742936,0.100020357,0.050027759,0.329984726,1,0,1,,,,
203,79459,87405,91775,122061,11.28299644,11.37830777,11.42709521,11.7122762,0.100001259,0.04999714,0.330002724,1,0,1,,,,
204,71957,79153,83110,85604,11.183824,11.27913797,11.32792031,11.35748729,0.100004169,0.049991788,0.030008423,0,0,0,,,,
205,77412,85154,89411,92094,11.25689709,11.35221666,11.400999,11.43056507,0.100010334,0.04999178,0.030007493,0,0,0,,,,
206,1713,1884,1978,2038,7.446001498,7.541152455,7.589841512,7.619724214,0.099824869,0.049893843,0.03033367,0,0,0,,,,
207,19832,21815,22906,30465,9.895052074,9.990353086,10.03915416,10.32433376,0.099989915,0.05001146,0.330000873,1,0,1,,,,
208,60306,66337,69654,71743,11.00718688,11.10250309,11.15129541,11.18084557,0.100006633,0.050002261,0.029991099,0,0,0,,,,
